Id,Name,Age,Height,Weight,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain
37,N. Pérez,22.0,185 cm,75 kg,Argentina,False,Atletico Madrid,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/37.png,https://media.api-sports.io/football/teams/530.png,,0.0,0.0,0.0,False
48,Saúl,28.0,184 cm,76 kg,Spain,False,Atletico Madrid,Midfielder,3.0,200.0,26.0,1.0,91.0,,3.0,2.0,,1.0,2.0,2.0,1.0,,7.0,16.0,24.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/48.png,https://media.api-sports.io/football/teams/530.png,7.233333,0.0,0.0,0.0,False
169,Kieran Trippier,32.0,178 cm,71 kg,England,False,Atletico Madrid,Defender,15.0,978.0,31.0,7.0,556.0,,1.0,11.0,,6.0,6.0,14.0,,9.0,20.0,57.0,98.0,,0.0,0.0,,https://media.api-sports.io/football/players/169.png,https://media.api-sports.io/football/teams/530.png,6.857142,1.0,0.0,0.0,False
642,S. Agüero,33.0,173 cm,70 kg,Argentina,False,Barcelona,Attacker,4.0,151.0,9.0,1.0,39.0,1.0,5.0,2.0,,1.0,2.0,1.0,,,1.0,7.0,14.0,,1.0,0.0,,https://media.api-sports.io/football/players/642.png,https://media.api-sports.io/football/teams/529.png,6.900000,0.0,0.0,0.0,False
737,Odriozola,27.0,176 cm,66 kg,Spain,False,Real Madrid,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/737.png,https://media.api-sports.io/football/teams/541.png,,0.0,0.0,0.0,False
2041,J. Gnagnon,25.0,182 cm,89 kg,France,False,Sevilla,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/2041.png,https://media.api-sports.io/football/teams/536.png,,0.0,0.0,0.0,False
31563,Aleksandar Trajkovski,30.0,179 cm,72 kg,North Macedonia,False,Mallorca,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/31563.png,https://media.api-sports.io/football/teams/798.png,,0.0,0.0,0.0,False
32871,Taichi Hara,23.0,191 cm,84 kg,Japan,False,Alaves,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/32871.png,https://media.api-sports.io/football/teams/542.png,,0.0,0.0,0.0,False
35503,J. Macías,23.0,178 cm,76 kg,Mexico,False,Getafe,Attacker,7.0,200.0,5.0,,42.0,,3.0,10.0,,5.0,11.0,1.0,,1.0,1.0,21.0,36.0,,0.0,0.0,,https://media.api-sports.io/football/players/35503.png,https://media.api-sports.io/football/teams/546.png,6.633333,1.0,0.0,0.0,False
35672,L. Ulloa,35.0,188 cm,89 kg,Argentina,False,Rayo Vallecano,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media.api-sports.io/football/players/35672.png,https://media.api-sports.io/football/teams/728.png,,,,,False
46685,R. Azeez,29.0,169 cm,67 kg,Nigeria,False,Granada CF,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/46685.png,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False
46762,M. López,31.0,190 cm,84 kg,Argentina,False,Cadiz,Defender,3.0,134.0,6.0,,25.0,,,,,,1.0,1.0,1.0,1.0,1.0,6.0,10.0,,0.0,0.0,,https://media.api-sports.io/football/players/46762.png,https://media.api-sports.io/football/teams/724.png,6.250000,1.0,0.0,0.0,False
47061,Jorge Pombo,28.0,177 cm,76 kg,Spain,False,Cadiz,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47061.png,https://media.api-sports.io/football/teams/724.png,,0.0,0.0,0.0,False
47367,Álex Blanco,24.0,175 cm,70 kg,Spain,False,Valencia,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/47367.png,https://media.api-sports.io/football/teams/532.png,,0.0,0.0,0.0,False
47380,Cucurella,24.0,172 cm,66 kg,Spain,False,Getafe,Defender,1.0,22.0,15.0,1.0,19.0,,,1.0,,1.0,1.0,,,,,2.0,2.0,,0.0,0.0,,https://media.api-sports.io/football/players/47380.png,https://media.api-sports.io/football/teams/546.png,6.900000,0.0,0.0,0.0,False
47491,Luismi Sánchez,30.0,180 cm,73 kg,Spain,False,Elche,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47491.png,https://media.api-sports.io/football/teams/797.png,,0.0,0.0,0.0,False
129656,César Moreno Meca,21.0,183 cm,71 kg,Spain,False,Elche,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/129656.png,https://media.api-sports.io/football/teams/797.png,,0.0,0.0,0.0,False
294791,Mamor Niang,20.0,190 cm,,Spain,False,Getafe,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/294791.png,https://media.api-sports.io/football/teams/546.png,,0.0,0.0,0.0,False
295879,John Chetauya,21.0,185 cm,,Spain,False,Elche,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/295879.png,https://media.api-sports.io/football/teams/797.png,,0.0,0.0,0.0,False
353865,Victor Wehbi Aznar Ussen,20.0,189 cm,,Spain,False,Cadiz,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/353865.png,https://media.api-sports.io/football/teams/724.png,,0.0,0.0,0.0,False
111,Marcos Paulo Mesquita Lopes,27.0,174 cm,68 kg,Portugal,False,Sevilla,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/111.png,https://media.api-sports.io/football/teams/536.png,,0.0,0.0,0.0,False
122,Jordi Mboula,23.0,183 cm,74 kg,Spain,False,Mallorca,Attacker,11.0,433.0,7.0,3.0,72.0,,3.0,13.0,,7.0,6.0,6.0,1.0,3.0,8.0,31.0,63.0,,0.0,0.0,,https://media.api-sports.io/football/players/122.png,https://media.api-sports.io/football/teams/798.png,6.390000,2.0,0.0,0.0,False
126,Iñaki Peña,23.0,184 cm,78 kg,Spain,False,Barcelona,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/126.png,https://media.api-sports.io/football/teams/529.png,,0.0,0.0,0.0,False
