Id,Name,Age,Height,Weight,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain
10322,Marcos Paulo,21.0,184 cm,79 kg,Portugal,False,Atletico Madrid,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/10322.png,https://media.api-sports.io/football/teams/530.png,,0.0,0.0,0.0,False
41412,N. Maraš,27.0,189 cm,79 kg,Serbia,False,Rayo Vallecano,Defender,13.0,890.0,22.0,2.0,318.0,,1.0,,,,3.0,8.0,10.0,11.0,8.0,30.0,68.0,,0.0,0.0,,https://media.api-sports.io/football/players/41412.png,https://media.api-sports.io/football/teams/728.png,6.658333,3.0,0.0,0.0,False
46737,Joan Sastre Vanrell,25.0,174 cm,75 kg,Spain,False,Mallorca,Defender,7.0,254.0,9.0,,79.0,,1.0,5.0,,3.0,6.0,3.0,,2.0,6.0,19.0,29.0,,0.0,0.0,,https://media.api-sports.io/football/players/46737.png,https://media.api-sports.io/football/teams/798.png,6.333333,1.0,0.0,0.0,False
46914,E. Saveljich,31.0,187 cm,80 kg,Montenegro,False,Rayo Vallecano,Defender,21.0,1708.0,22.0,1.0,552.0,3.0,8.0,1.0,,,2.0,22.0,11.0,13.0,15.0,71.0,136.0,,0.0,0.0,,https://media.api-sports.io/football/players/46914.png,https://media.api-sports.io/football/teams/728.png,6.655000,4.0,0.0,0.0,False
47304,Kévin Rodrigues,28.0,170 cm,70 kg,Portugal,False,Rayo Vallecano,Defender,10.0,337.0,9.0,1.0,106.0,,1.0,2.0,,1.0,6.0,2.0,,5.0,9.0,23.0,36.0,,0.0,0.0,,https://media.api-sports.io/football/players/47304.png,https://media.api-sports.io/football/teams/728.png,6.537500,0.0,0.0,0.0,False
47358,Adrián Marín,25.0,181 cm,73 kg,Spain,False,Granada CF,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47358.png,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False
47446,E. Mor,25.0,169 cm,64 kg,Turkey,False,Celta Vigo,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47446.png,https://media.api-sports.io/football/teams/538.png,,0.0,0.0,0.0,False
47527,Stole Dimitrievski,29.0,188 cm,84 kg,North Macedonia,False,Rayo Vallecano,Goalkeeper,28.0,2501.0,12.0,,708.0,,,,,,6.0,,,1.0,,17.0,18.0,,0.0,29.0,79.0,https://media.api-sports.io/football/players/47527.png,https://media.api-sports.io/football/teams/728.png,6.946428,0.0,0.0,0.0,False
47533,Catena,28.0,194 cm,82 kg,Spain,False,Rayo Vallecano,Defender,32.0,2880.0,37.0,7.0,1489.0,6.0,17.0,5.0,,5.0,13.0,24.0,16.0,26.0,36.0,160.0,240.0,2.0,2.0,0.0,,https://media.api-sports.io/football/players/47533.png,https://media.api-sports.io/football/teams/728.png,6.984375,8.0,0.0,0.0,False
47549,José Ángel Pozo la Rosa,26.0,171 cm,67 kg,Spain,False,Rayo Vallecano,Midfielder,5.0,68.0,9.0,3.0,49.0,,2.0,2.0,,,2.0,3.0,,,2.0,4.0,13.0,,0.0,0.0,,https://media.api-sports.io/football/players/47549.png,https://media.api-sports.io/football/teams/728.png,6.600000,0.0,0.0,0.0,False
96476,João Paulo Santos da Costa,26.0,185 cm,80 kg,Portugal,False,Granada CF,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/96476.png,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False
107207,Mario Hernández,23.0,,,Spain,False,Rayo Vallecano,Defender,8.0,332.0,11.0,3.0,135.0,1.0,2.0,5.0,,2.0,3.0,4.0,,4.0,9.0,15.0,33.0,,1.0,0.0,,https://media.api-sports.io/football/players/107207.png,https://media.api-sports.io/football/teams/728.png,6.537500,3.0,0.0,0.0,False
162135,Iker Recio,21.0,184 cm,,Spain,False,Rayo Vallecano,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/162135.png,https://media.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False
182167,Adrián Butzke,23.0,193 cm,72 kg,Spain,False,Granada CF,Attacker,1.0,0.0,,,1.0,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/182167.png,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False
198558,Sergio Gimeno,21.0,,,Spain,False,Rayo Vallecano,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/198558.png,https://media.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False
201007,Adrián,21.0,188 cm,,Spain,False,Rayo Vallecano,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/201007.png,https://media.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False
119,Radamel Falcao García Zárate,36.0,177 cm,72 kg,Colombia,False,Rayo Vallecano,Attacker,18.0,675.0,6.0,3.0,134.0,13.0,24.0,6.0,,2.0,12.0,16.0,1.0,2.0,1.0,38.0,100.0,,6.0,0.0,,https://media.api-sports.io/football/players/119.png,https://media.api-sports.io/football/teams/728.png,6.812500,1.0,0.0,0.0,False
614,C. Bravo,39.0,184 cm,80 kg,Chile,False,Real Betis,Goalkeeper,15.0,1350.0,17.0,1.0,398.0,,,,,,,,,,,6.0,7.0,,0.0,17.0,36.0,https://media.api-sports.io/football/players/614.png,https://media.api-sports.io/football/teams/543.png,6.800000,2.0,0.0,0.0,False
1558,Joel Robles Blázquez,32.0,195 cm,78 kg,Spain,False,Real Betis,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/1558.png,https://media.api-sports.io/football/teams/543.png,,0.0,0.0,0.0,False
8518,M. Sylla,28.0,184 cm,84 kg,Senegal,False,Rayo Vallecano,Attacker,9.0,193.0,3.0,2.0,60.0,,1.0,7.0,,3.0,6.0,6.0,,1.0,2.0,22.0,45.0,,0.0,0.0,,https://media.api-sports.io/football/players/8518.png,https://media.api-sports.io/football/teams/728.png,6.416666,1.0,0.0,0.0,False
41552,P. Ciss,28.0,183 cm,71 kg,Senegal,False,Rayo Vallecano,Midfielder,28.0,938.0,13.0,3.0,441.0,4.0,12.0,15.0,,10.0,8.0,15.0,6.0,27.0,26.0,74.0,136.0,1.0,1.0,0.0,,https://media.api-sports.io/football/players/41552.png,https://media.api-sports.io/football/teams/728.png,6.744444,4.0,0.0,0.0,False
46672,Rui Tiago Dantas da Silva,28.0,191 cm,91 kg,Portugal,False,Real Betis,Goalkeeper,18.0,1620.0,18.0,,463.0,,,,,,3.0,1.0,,1.0,1.0,5.0,6.0,,0.0,17.0,37.0,https://media.api-sports.io/football/players/46672.png,https://media.api-sports.io/football/teams/543.png,6.776470,2.0,0.0,0.0,False
47109,Óscar Valentín,28.0,177 cm,72 kg,Spain,False,Rayo Vallecano,Midfielder,31.0,2265.0,29.0,14.0,1069.0,2.0,7.0,17.0,,14.0,46.0,48.0,9.0,34.0,81.0,173.0,324.0,,0.0,0.0,,https://media.api-sports.io/football/players/47109.png,https://media.api-sports.io/football/teams/728.png,6.890000,7.0,0.0,0.0,False
47285,Unai López,27.0,170 cm,68 kg,Spain,False,Rayo Vallecano,Midfielder,24.0,956.0,23.0,20.0,608.0,4.0,10.0,23.0,,10.0,14.0,19.0,,9.0,12.0,44.0,125.0,,0.0,0.0,,https://media.api-sports.io/football/players/47285.png,https://media.api-sports.io/football/teams/728.png,6.634782,4.0,0.0,0.0,False
47322,Martín Merquelanz,27.0,176 cm,72 kg,Spain,False,Rayo Vallecano,Attacker,4.0,176.0,10.0,7.0,57.0,,2.0,10.0,,3.0,2.0,2.0,,,2.0,10.0,30.0,,0.0,0.0,,https://media.api-sports.io/football/players/47322.png,https://media.api-sports.io/football/teams/728.png,6.700000,0.0,0.0,0.0,False
47495,Sergio Guardiola Navarro,31.0,184 cm,78 kg,Spain,False,Rayo Vallecano,Attacker,29.0,1556.0,8.0,12.0,336.0,15.0,33.0,18.0,,11.0,27.0,26.0,2.0,4.0,7.0,64.0,182.0,2.0,6.0,0.0,,https://media.api-sports.io/football/players/47495.png,https://media.api-sports.io/football/teams/728.png,6.696428,3.0,0.0,0.0,False
47541,Santi Comesaña,26.0,184 cm,75 kg,Spain,False,Rayo Vallecano,Midfielder,32.0,2491.0,34.0,24.0,1282.0,4.0,22.0,60.0,,44.0,51.0,54.0,6.0,31.0,80.0,227.0,439.0,2.0,1.0,0.0,,https://media.api-sports.io/football/players/47541.png,https://media.api-sports.io/football/teams/728.png,6.954838,10.0,0.0,1.0,False
47543,Álvaro García,30.0,167 cm,61 kg,Spain,False,Rayo Vallecano,Midfielder,32.0,2646.0,15.0,37.0,706.0,23.0,54.0,43.0,,19.0,20.0,21.0,3.0,39.0,36.0,80.0,180.0,3.0,6.0,0.0,,https://media.api-sports.io/football/players/47543.png,https://media.api-sports.io/football/teams/728.png,6.990625,5.0,0.0,0.0,False
47548,Manuel Navarro,22.0,,,Spain,False,Rayo Vallecano,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/47548.png,https://media.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False
47550,Mario Suárez,35.0,188 cm,80 kg,Spain,False,Rayo Vallecano,Midfielder,11.0,555.0,18.0,1.0,242.0,2.0,5.0,4.0,,2.0,1.0,12.0,3.0,6.0,6.0,29.0,58.0,,0.0,0.0,,https://media.api-sports.io/football/players/47550.png,https://media.api-sports.io/football/teams/728.png,6.466666,1.0,0.0,0.0,False
47557,Ó. Trejo,34.0,180 cm,79 kg,Argentina,False,Rayo Vallecano,Attacker,31.0,1950.0,23.0,54.0,859.0,9.0,13.0,123.0,,78.0,60.0,57.0,1.0,13.0,40.0,201.0,422.0,9.0,3.0,0.0,,https://media.api-sports.io/football/players/47557.png,https://media.api-sports.io/football/teams/728.png,6.976666,12.0,0.0,0.0,False
104804,Dani Rebollo,23.0,185 cm,77 kg,Spain,False,Real Betis,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/104804.png,https://media.api-sports.io/football/teams/543.png,,0.0,0.0,0.0,False
122657,R. Nteka,25.0,189 cm,75 kg,France,False,Rayo Vallecano,Midfielder,30.0,1234.0,7.0,13.0,315.0,8.0,25.0,25.0,,13.0,22.0,37.0,1.0,5.0,18.0,109.0,248.0,,3.0,0.0,,https://media.api-sports.io/football/players/122657.png,https://media.api-sports.io/football/teams/728.png,6.610344,3.0,0.0,0.0,False
131546,Isi Palazón,28.0,169 cm,71 kg,Spain,False,Rayo Vallecano,Attacker,33.0,2259.0,18.0,34.0,790.0,13.0,37.0,81.0,,36.0,69.0,32.0,3.0,13.0,41.0,191.0,433.0,4.0,2.0,0.0,,https://media.api-sports.io/football/players/131546.png,https://media.api-sports.io/football/teams/728.png,6.756250,7.0,0.0,0.0,False
184605,Álvaro Aguirre,22.0,,,Spain,False,Rayo Vallecano,Attacker,1.0,8.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/184605.png,https://media.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False
290495,Alejandro Asensio,22.0,,,Spain,False,Rayo Vallecano,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/290495.png,https://media.api-sports.io/football/teams/728.png,,0.0,0.0,0.0,False
134,Juan Miranda,22.0,185 cm,71 kg,Spain,False,Real Betis,Defender,11.0,763.0,27.0,6.0,378.0,2.0,5.0,8.0,,4.0,13.0,13.0,4.0,14.0,21.0,50.0,94.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/134.png,https://media.api-sports.io/football/teams/543.png,6.963636,3.0,0.0,0.0,False
668,Nabil Fekir,29.0,173 cm,72 kg,France,False,Real Betis,Attacker,30.0,2503.0,34.0,71.0,1128.0,30.0,51.0,113.0,,77.0,79.0,54.0,,7.0,34.0,216.0,445.0,7.0,6.0,0.0,,https://media.api-sports.io/football/players/668.png,https://media.api-sports.io/football/teams/543.png,7.328571,7.0,1.0,0.0,False
669,Y. Fékir,25.0,,,France,False,Real Betis,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/669.png,https://media.api-sports.io/football/teams/543.png,,0.0,0.0,0.0,False
1439,Bellerín,27.0,178 cm,74 kg,Spain,False,Real Betis,Defender,22.0,1889.0,27.0,23.0,707.0,2.0,3.0,34.0,,16.0,12.0,17.0,1.0,21.0,48.0,100.0,163.0,2.0,0.0,0.0,,https://media.api-sports.io/football/players/1439.png,https://media.api-sports.io/football/teams/543.png,6.950000,2.0,1.0,0.0,False
1561,Marc Bartra Aregall,31.0,184 cm,70 kg,Spain,False,Real Betis,Defender,20.0,1724.0,41.0,2.0,888.0,1.0,8.0,5.0,,5.0,14.0,15.0,16.0,27.0,28.0,93.0,150.0,,0.0,0.0,,https://media.api-sports.io/football/players/1561.png,https://media.api-sports.io/football/teams/543.png,7.022222,3.0,0.0,0.0,False
1570,Sergio Canales Madrazo,31.0,176 cm,65 kg,Spain,False,Real Betis,Midfielder,29.0,2363.0,43.0,51.0,1397.0,19.0,32.0,42.0,,24.0,27.0,15.0,1.0,9.0,16.0,75.0,169.0,5.0,4.0,0.0,,https://media.api-sports.io/football/players/1570.png,https://media.api-sports.io/football/teams/543.png,7.137037,6.0,0.0,0.0,False
1573,A. Guardado,36.0,169 cm,60 kg,Mexico,False,Real Betis,Midfielder,25.0,1247.0,27.0,8.0,789.0,2.0,9.0,10.0,,6.0,15.0,19.0,3.0,18.0,20.0,51.0,118.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/1573.png,https://media.api-sports.io/football/teams/543.png,6.747826,4.0,0.0,0.0,False
1579,Joaquín,41.0,179 cm,75 kg,Spain,False,Real Betis,Midfielder,17.0,395.0,10.0,14.0,173.0,3.0,6.0,22.0,,12.0,8.0,1.0,1.0,2.0,4.0,27.0,57.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/1579.png,https://media.api-sports.io/football/teams/543.png,6.766666,0.0,0.0,0.0,False
1580,William Carvalho,30.0,187 cm,79 kg,Portugal,False,Real Betis,Midfielder,29.0,1590.0,34.0,21.0,1064.0,8.0,17.0,55.0,,38.0,25.0,24.0,6.0,11.0,40.0,129.0,237.0,3.0,2.0,0.0,,https://media.api-sports.io/football/players/1580.png,https://media.api-sports.io/football/teams/543.png,6.957692,6.0,0.0,0.0,False
1693,Víctor Ruíz Torre,33.0,184 cm,95 kg,Spain,False,Real Betis,Defender,18.0,1425.0,39.0,4.0,678.0,1.0,4.0,2.0,,1.0,2.0,7.0,9.0,24.0,8.0,50.0,84.0,,0.0,0.0,,https://media.api-sports.io/football/players/1693.png,https://media.api-sports.io/football/teams/543.png,6.907142,2.0,0.0,0.0,False
2469,Germán Alejo Pezzella,31.0,187 cm,82 kg,Argentina,False,Real Betis,Defender,19.0,1640.0,40.0,,878.0,4.0,12.0,3.0,,3.0,5.0,23.0,14.0,36.0,18.0,81.0,141.0,,1.0,0.0,,https://media.api-sports.io/football/players/2469.png,https://media.api-sports.io/football/teams/543.png,6.978947,5.0,1.0,0.0,False
2476,G. Rodríguez,28.0,185 cm,78 kg,Argentina,False,Real Betis,Midfielder,27.0,2082.0,38.0,11.0,1129.0,7.0,11.0,23.0,,17.0,37.0,37.0,8.0,26.0,75.0,155.0,261.0,2.0,1.0,0.0,,https://media.api-sports.io/football/players/2476.png,https://media.api-sports.io/football/teams/543.png,7.024000,8.0,0.0,1.0,False
18998,Camarasa,28.0,183 cm,76 kg,Spain,False,Real Betis,Midfielder,7.0,101.0,5.0,,50.0,,1.0,1.0,,,3.0,2.0,1.0,2.0,2.0,7.0,11.0,,0.0,0.0,,https://media.api-sports.io/football/players/18998.png,https://media.api-sports.io/football/teams/543.png,6.616666,0.0,0.0,0.0,False
47320,Juan Miguel Jiménez López,29.0,172 cm,69 kg,Spain,False,Real Betis,Attacker,28.0,1851.0,11.0,16.0,386.0,24.0,37.0,35.0,,24.0,13.0,33.0,1.0,9.0,30.0,91.0,205.0,3.0,14.0,0.0,,https://media.api-sports.io/football/players/47320.png,https://media.api-sports.io/football/teams/543.png,7.055555,5.0,0.0,0.0,False
47547,Álex Moreno,29.0,179 cm,68 kg,Spain,False,Real Betis,Defender,25.0,1976.0,24.0,20.0,744.0,8.0,18.0,44.0,,17.0,28.0,26.0,5.0,27.0,60.0,124.0,230.0,3.0,5.0,0.0,,https://media.api-sports.io/football/players/47547.png,https://media.api-sports.io/football/teams/543.png,7.013043,3.0,1.0,0.0,False
104986,Kike Hermoso,23.0,190 cm,76 kg,Spain,False,Real Betis,Defender,1.0,90.0,50.0,,60.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,2.0,9.0,12.0,,1.0,0.0,,https://media.api-sports.io/football/players/104986.png,https://media.api-sports.io/football/teams/543.png,7.700000,0.0,0.0,0.0,False
179070,Marc Baró,23.0,180 cm,,Spain,False,Real Betis,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/179070.png,https://media.api-sports.io/football/teams/543.png,,0.0,0.0,0.0,False
185477,Rodri,22.0,,,Spain,False,Real Betis,Midfielder,17.0,771.0,17.0,13.0,333.0,7.0,13.0,23.0,,14.0,10.0,1.0,,2.0,10.0,34.0,71.0,1.0,1.0,0.0,,https://media.api-sports.io/football/players/185477.png,https://media.api-sports.io/football/teams/543.png,6.686666,0.0,0.0,0.0,False
188409,Fran Delgado,21.0,177 cm,62 kg,Spain,False,Real Betis,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/188409.png,https://media.api-sports.io/football/teams/543.png,,0.0,0.0,0.0,False
292140,Marchena,20.0,182 cm,71 kg,Spain,False,Real Betis,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/292140.png,https://media.api-sports.io/football/teams/543.png,,0.0,0.0,0.0,False
125,Jokin Ezkieta Mendiburu,26.0,193 cm,82 kg,Spain,False,Athletic Club,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/125.png,https://media.api-sports.io/football/teams/531.png,,0.0,0.0,0.0,False
1586,Cristian Tello Herrera,31.0,178 cm,65 kg,Spain,False,Real Betis,Attacker,22.0,801.0,11.0,14.0,273.0,8.0,16.0,23.0,,9.0,5.0,8.0,,5.0,13.0,29.0,80.0,2.0,2.0,0.0,,https://media.api-sports.io/football/players/1586.png,https://media.api-sports.io/football/teams/543.png,6.615789,2.0,0.0,0.0,False
2670,Íñigo Martínez Berridi,31.0,182 cm,76 kg,Spain,False,Athletic Club,Defender,23.0,1983.0,36.0,3.0,967.0,9.0,17.0,2.0,,2.0,22.0,25.0,9.0,29.0,21.0,97.0,168.0,,3.0,0.0,,https://media.api-sports.io/football/players/2670.png,https://media.api-sports.io/football/teams/531.png,7.090476,8.0,1.0,1.0,False
47119,Aitor Ruibal,26.0,176 cm,74 kg,Spain,False,Real Betis,Attacker,18.0,796.0,12.0,10.0,266.0,3.0,11.0,25.0,,12.0,12.0,19.0,,8.0,21.0,50.0,125.0,,0.0,0.0,,https://media.api-sports.io/football/players/47119.png,https://media.api-sports.io/football/teams/543.png,6.464705,5.0,0.0,0.0,False
47271,Yeray,27.0,182 cm,78 kg,Spain,False,Athletic Club,Defender,20.0,1680.0,40.0,4.0,871.0,,4.0,3.0,,2.0,7.0,19.0,11.0,37.0,21.0,71.0,129.0,,0.0,0.0,,https://media.api-sports.io/football/players/47271.png,https://media.api-sports.io/football/teams/531.png,6.966666,5.0,0.0,0.0,False
47272,Mikel Balenziaga Oruesagasti,34.0,177 cm,76 kg,Spain,False,Athletic Club,Defender,26.0,2026.0,23.0,7.0,711.0,2.0,5.0,11.0,,6.0,10.0,20.0,3.0,19.0,30.0,75.0,142.0,,0.0,0.0,,https://media.api-sports.io/football/players/47272.png,https://media.api-sports.io/football/teams/531.png,6.752173,2.0,0.0,0.0,False
