Id,Name,Age,Height,Weight,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain
122,Jordi Mboula,23.0,183 cm,74 kg,Spain,False,Mallorca,Attacker,11.0,433.0,7.0,3.0,72.0,,3.0,13.0,,7.0,6.0,6.0,1.0,3.0,8.0,31.0,63.0,,0.0,0.0,,https://media.api-sports.io/football/players/122.png,https://media.api-sports.io/football/teams/798.png,6.390000,2.0,0.0,0.0,False
169,Kieran Trippier,32.0,178 cm,71 kg,England,False,Atletico Madrid,Defender,15.0,978.0,31.0,7.0,556.0,,1.0,11.0,,6.0,6.0,14.0,,9.0,20.0,57.0,98.0,,0.0,0.0,,https://media.api-sports.io/football/players/169.png,https://media.api-sports.io/football/teams/530.png,6.857142,1.0,0.0,0.0,False
642,S. Agüero,33.0,173 cm,70 kg,Argentina,False,Barcelona,Attacker,4.0,151.0,9.0,1.0,39.0,1.0,5.0,2.0,,1.0,2.0,1.0,,,1.0,7.0,14.0,,1.0,0.0,,https://media.api-sports.io/football/players/642.png,https://media.api-sports.io/football/teams/529.png,6.900000,0.0,0.0,0.0,False
737,Odriozola,27.0,176 cm,66 kg,Spain,False,Real Madrid,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/737.png,https://media.api-sports.io/football/teams/541.png,,0.0,0.0,0.0,False
1566,Emerson,23.0,181 cm,79 kg,Brazil,False,Barcelona,Defender,3.0,90.0,15.0,,52.0,,,1.0,,,3.0,3.0,,2.0,3.0,6.0,12.0,,0.0,0.0,,https://media.api-sports.io/football/players/1566.png,https://media.api-sports.io/football/teams/529.png,6.533333,0.0,0.0,0.0,False
10322,Marcos Paulo,21.0,184 cm,79 kg,Portugal,False,Atletico Madrid,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/10322.png,https://media.api-sports.io/football/teams/530.png,,0.0,0.0,0.0,False
32871,T. Hara,23.0,191 cm,84 kg,Japan,False,Alaves,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/32871.png,https://media.api-sports.io/football/teams/542.png,,0.0,0.0,0.0,False
35672,L. Ulloa,35.0,188 cm,89 kg,Argentina,False,Rayo Vallecano,Attacker,,,,,,,,,,,,,,,,,,,,,,https://media.api-sports.io/football/players/35672.png,https://media.api-sports.io/football/teams/728.png,,,,,False
46685,R. Azeez,29.0,169 cm,67 kg,Nigeria,False,Granada CF,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/46685.png,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False
47061,Jorge Pombo,28.0,177 cm,76 kg,Spain,False,Cadiz,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47061.png,https://media.api-sports.io/football/teams/724.png,,0.0,0.0,0.0,False
47358,Adrián Marín,25.0,181 cm,73 kg,Spain,False,Granada CF,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47358.png,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False
47367,Álex Blanco,24.0,175 cm,70 kg,Spain,False,Valencia,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/47367.png,https://media.api-sports.io/football/teams/532.png,,0.0,0.0,0.0,False
47446,E. Mor,25.0,169 cm,64 kg,Turkey,False,Celta Vigo,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47446.png,https://media.api-sports.io/football/teams/538.png,,0.0,0.0,0.0,False
47491,Luismi Sánchez,30.0,180 cm,73 kg,Spain,False,Elche,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/47491.png,https://media.api-sports.io/football/teams/797.png,,0.0,0.0,0.0,False
96476,João Paulo Santos da Costa,26.0,185 cm,80 kg,Portugal,False,Granada CF,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/96476.png,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False
129656,César Moreno Meca,21.0,183 cm,71 kg,Spain,False,Elche,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/129656.png,https://media.api-sports.io/football/teams/797.png,,0.0,0.0,0.0,False
182167,Adrián Butzke,23.0,193 cm,72 kg,Spain,False,Granada CF,Attacker,1.0,0.0,,,1.0,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/182167.png,https://media.api-sports.io/football/teams/715.png,,0.0,0.0,0.0,False
294791,Mamor Niang,20.0,190 cm,,Spain,False,Getafe,Attacker,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/294791.png,https://media.api-sports.io/football/teams/546.png,,0.0,0.0,0.0,False
295879,John Chetauya,21.0,185 cm,,Spain,False,Elche,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/295879.png,https://media.api-sports.io/football/teams/797.png,,0.0,0.0,0.0,False
353865,Victor Wehbi Aznar Ussen,20.0,189 cm,,Spain,False,Cadiz,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/353865.png,https://media.api-sports.io/football/teams/724.png,,0.0,0.0,0.0,False
122,Jordi Mboula,23.0,183 cm,74 kg,Spain,False,Mallorca,Attacker,11.0,433.0,7.0,3.0,72.0,,3.0,13.0,,7.0,6.0,6.0,1.0,3.0,8.0,31.0,63.0,,0.0,0.0,,https://media.api-sports.io/football/players/122.png,https://media.api-sports.io/football/teams/798.png,6.390000,2.0,0.0,0.0,False
732,Luca Zinedine Zidane,24.0,183 cm,78 kg,France,False,Rayo Vallecano,Goalkeeper,7.0,556.0,15.0,,134.0,,,2.0,,2.0,1.0,1.0,,,,4.0,6.0,,0.0,7.0,19.0,https://media.api-sports.io/football/players/732.png,https://media.api-sports.io/football/teams/728.png,6.100000,0.0,1.0,0.0,False
736,Fran García,23.0,167 cm,69 kg,Spain,False,Rayo Vallecano,Defender,31.0,2757.0,27.0,27.0,1022.0,8.0,13.0,39.0,,19.0,14.0,24.0,7.0,41.0,56.0,112.0,231.0,,1.0,0.0,,https://media.api-sports.io/football/players/736.png,https://media.api-sports.io/football/teams/728.png,6.816666,4.0,0.0,0.0,False
6066,M. Vargas,25.0,168 cm,66 kg,Argentina,False,Espanyol,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/6066.png,https://media.api-sports.io/football/teams/540.png,,0.0,0.0,0.0,False
